"category","gaps_total","gaps_approved","topics_total","topics_approved","research_completed","drafts_total","published_total"
"algorithmic_trading","5","5","0","0","0","0","0"
"alternative_investments","5","5","0","0","0","0","0"
"derivatives","41","7","0","0","0","0","0"
"digital_gold","7","7","0","0","3","0","0"
"estate_planning","1","1","0","0","0","0","0"
"fintech_regulation","15","15","0","0","0","0","0"
"fractional_investing","7","7","0","0","0","0","0"
"hni_uhni_advisory","1","1","0","0","1","0","0"
"index_investing","9","9","0","0","0","0","0"
"investment_strategies","0","0","1","0","0","0","0"
"mutual_funds","9","9","0","0","41","0","0"
"nri_wealth","1","1","0","0","0","0","0"
"personal_finance","1","1","0","0","20","48","90"
"private_wealth_management","0","0","0","0","2","0","0"
"retirement_planning","9","9","0","0","20","0","0"
"robo_advisory","11","11","0","0","0","0","0"
"stock_market","7","7","0","0","11","0","0"
"structured_products","1","1","0","0","0","0","0"
"systematic_investing","12","12","0","0","0","0","0"
"tax_planning","13","13","0","0","26","0","0"
"wealth management","1","1","0","0","0","0","0"
"wealth_apps","10","10","0","0","6","0","0"
"wealth_management","10","10","0","0","0","0","0"
